StudentID,AmountDue,AmountPaid,PaymentDate,PaymentStatus
STU-101,12000,6800.0,2025-02-08,Partial
STU-102,5000,2300.0,2025-02-20,Partial
STU-103,8000,6300.0,2025-03-12,Partial
STU-104,12000,12000.0,2025-02-16,Paid
STU-105,5000,3700.0,2025-02-21,Partial
STU-106,5000,2600.0,2025-02-20,Partial
STU-107,5000,4000.0,2025-02-27,Partial
STU-108,6000,6000.0,2025-01-27,Paid
STU-109,8000,0.0,,Pending
STU-110,12000,0.0,,Pending
STU-111,12000,3800.0,2025-02-17,Partial
STU-112,8000,0.0,,Pending
STU-113,5000,1800.0,2025-03-17,Partial
STU-114,6000,0.0,,Pending
STU-115,5000,3300.0,2025-03-14,Partial
STU-116,12000,4300.0,2025-02-19,Partial
STU-117,15000,0.0,,Pending
STU-118,5000,0.0,,Pending
STU-119,12000,12000.0,2025-02-13,Paid
STU-120,12000,12000.0,2025-02-10,Paid
STU-121,5000,5000.0,2025-02-19,Paid
STU-122,5000,5000.0,2025-02-20,Paid
STU-123,6000,3500.0,2025-01-30,Partial
STU-124,8000,8000.0,2025-03-17,Paid
STU-125,8000,8000.0,2025-03-23,Paid
STU-126,5000,5000.0,2025-02-24,Paid
STU-127,8000,6300.0,2025-03-07,Partial
STU-128,15000,8900.0,2025-01-25,Partial
STU-129,5000,5000.0,2025-02-28,Paid
STU-130,15000,0.0,,Pending
STU-131,12000,7800.0,2025-03-08,Partial
STU-132,8000,6200.0,2025-03-08,Partial
STU-133,6000,1900.0,2025-01-20,Partial
STU-134,5000,3300.0,2025-02-23,Partial
STU-135,5000,1600.0,2025-02-21,Partial
STU-136,8000,2600.0,2025-03-11,Partial
STU-137,12000,7200.0,2025-02-21,Partial
STU-138,12000,4700.0,2025-02-18,Partial
STU-139,12000,0.0,,Pending
STU-140,5000,5000.0,2025-03-02,Paid
STU-141,5000,2500.0,2025-02-16,Partial
STU-142,8000,0.0,,Pending
STU-143,15000,7700.0,2025-02-09,Partial
STU-144,6000,6000.0,2025-01-15,Paid
STU-145,5000,1700.0,2025-02-24,Partial
STU-146,12000,6500.0,2025-03-02,Partial
STU-147,6000,3500.0,2025-02-01,Partial
STU-148,8000,0.0,,Pending
STU-149,8000,3900.0,2025-03-10,Partial
STU-150,5000,2600.0,2025-02-21,Partial
